run_id,seed,t,I,P,R,kappa,EH,bound
B-1.5,789,190,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,200,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,210,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,220,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,230,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,240,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,789,250,2051.0,0.00048828125,1.00146484375,0.0,True,1477.3197218702985
B-1.5,1011,0,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,10,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,20,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,30,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,40,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,50,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,60,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,70,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,80,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,90,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,100,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,110,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,120,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,130,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,140,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,150,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,160,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,170,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,180,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,190,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,200,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,210,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,220,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,230,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,240,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
B-1.5,1011,250,2054.0,0.00048828125,1.0029296875,0.0,True,1477.3197218702985
